2018-03-21 23:03:12.432448: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:14.160798: step 0, duration = 0.052
2018-03-21 23:03:14.160880: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:15.861737: step 0, duration = 0.050
2018-03-21 23:03:15.861898: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:17.663556: step 0, duration = 0.050
2018-03-21 23:03:17.663631: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:19.432488: step 0, duration = 0.050
2018-03-21 23:03:19.432561: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:21.142215: step 0, duration = 0.051
2018-03-21 23:03:21.142368: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:22.828394: step 0, duration = 0.050
2018-03-21 23:03:22.828462: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:24.359624: step 0, duration = 0.052
2018-03-21 23:03:24.359745: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:26.082882: step 0, duration = 0.052
2018-03-21 23:03:26.082966: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:27.815186: step 0, duration = 0.052
2018-03-21 23:03:27.815338: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:29.510641: step 0, duration = 0.050
2018-03-21 23:03:29.510774: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:31.228908: step 0, duration = 0.052
2018-03-21 23:03:31.228989: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:32.898471: step 0, duration = 0.038
2018-03-21 23:03:32.898590: Forward-backward across 1 steps, 0.038 +/- 0.000 sec / batch
2018-03-21 23:03:34.493367: step 0, duration = 0.051
2018-03-21 23:03:34.493498: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:36.266073: step 0, duration = 0.053
2018-03-21 23:03:36.266154: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:38.063038: step 0, duration = 0.054
